,params,mean_test_accuracy,mean_test_precision,mean_test_recall,mean_test_f1
0,"{'C': 1e-05, 'loss': 'hinge', 'penalty': 'l1'}",,,,
1,"{'C': 1e-05, 'loss': 'hinge', 'penalty': 'l2'}",0.8259722222222221,0.9095070630733133,0.7241666666666667,0.8059776538302271
2,"{'C': 1e-05, 'loss': 'squared_hinge', 'penalty': 'l1'}",,,,
3,"{'C': 1e-05, 'loss': 'squared_hinge', 'penalty': 'l2'}",0.8286111111111112,0.8998671951791841,0.7397222222222222,0.8116194633897728
4,"{'C': 0.0001, 'loss': 'hinge', 'penalty': 'l1'}",,,,
5,"{'C': 0.0001, 'loss': 'hinge', 'penalty': 'l2'}",0.8259722222222221,0.9095070630733133,0.7241666666666667,0.8059776538302271
6,"{'C': 0.0001, 'loss': 'squared_hinge', 'penalty': 'l1'}",,,,
7,"{'C': 0.0001, 'loss': 'squared_hinge', 'penalty': 'l2'}",0.8388888888888889,0.8617603730339288,0.8074999999999999,0.833612847691368
8,"{'C': 0.001, 'loss': 'hinge', 'penalty': 'l1'}",,,,
9,"{'C': 0.001, 'loss': 'hinge', 'penalty': 'l2'}",0.8259722222222221,0.9095070630733133,0.7241666666666667,0.8059776538302271
10,"{'C': 0.001, 'loss': 'squared_hinge', 'penalty': 'l1'}",,,,
11,"{'C': 0.001, 'loss': 'squared_hinge', 'penalty': 'l2'}",0.8429166666666668,0.8315298759054087,0.8605555555555556,0.8457268407177052
12,"{'C': 0.01, 'loss': 'hinge', 'penalty': 'l1'}",,,,
13,"{'C': 0.01, 'loss': 'hinge', 'penalty': 'l2'}",0.8259722222222221,0.9095070630733133,0.7241666666666667,0.8059776538302271
14,"{'C': 0.01, 'loss': 'squared_hinge', 'penalty': 'l1'}",,,,
15,"{'C': 0.01, 'loss': 'squared_hinge', 'penalty': 'l2'}",0.8634722222222223,0.8553165454131287,0.8747222222222224,0.8648185642034083
16,"{'C': 0.1, 'loss': 'hinge', 'penalty': 'l1'}",,,,
17,"{'C': 0.1, 'loss': 'hinge', 'penalty': 'l2'}",0.8772222222222222,0.8671854418118203,0.8905555555555555,0.8786381518314286
18,"{'C': 0.1, 'loss': 'squared_hinge', 'penalty': 'l1'}",,,,
19,"{'C': 0.1, 'loss': 'squared_hinge', 'penalty': 'l2'}",0.9004166666666666,0.9105538942892333,0.8875,0.898495182168962
20,"{'C': 1, 'loss': 'hinge', 'penalty': 'l1'}",,,,
21,"{'C': 1, 'loss': 'hinge', 'penalty': 'l2'}",0.9058333333333334,0.9274287310748122,0.8799999999999999,0.9025142743337377
22,"{'C': 1, 'loss': 'squared_hinge', 'penalty': 'l1'}",,,,
23,"{'C': 1, 'loss': 'squared_hinge', 'penalty': 'l2'}",0.9086111111111113,0.9262318741650242,0.8875,0.9058434920213987
24,"{'C': 5, 'loss': 'hinge', 'penalty': 'l1'}",,,,
25,"{'C': 5, 'loss': 'hinge', 'penalty': 'l2'}",0.897638888888889,0.9136352346018445,0.8777777777777779,0.894753739964246
26,"{'C': 5, 'loss': 'squared_hinge', 'penalty': 'l1'}",,,,
27,"{'C': 5, 'loss': 'squared_hinge', 'penalty': 'l2'}",0.9015277777777777,0.9185917055795582,0.8805555555555555,0.898580457822457
28,"{'C': 10, 'loss': 'hinge', 'penalty': 'l1'}",,,,
29,"{'C': 10, 'loss': 'hinge', 'penalty': 'l2'}",0.8975,0.9133954570743299,0.8777777777777779,0.8946053970875967
30,"{'C': 10, 'loss': 'squared_hinge', 'penalty': 'l1'}",,,,
31,"{'C': 10, 'loss': 'squared_hinge', 'penalty': 'l2'}",0.8993055555555556,0.915893152744145,0.8788888888888888,0.8963315848364338
32,"{'C': 15, 'loss': 'hinge', 'penalty': 'l1'}",,,,
33,"{'C': 15, 'loss': 'hinge', 'penalty': 'l2'}",0.8975,0.9133954570743299,0.8777777777777779,0.8946053970875967
34,"{'C': 15, 'loss': 'squared_hinge', 'penalty': 'l1'}",,,,
35,"{'C': 15, 'loss': 'squared_hinge', 'penalty': 'l2'}",0.8987499999999999,0.9148088171127672,0.8788888888888888,0.8958209495836116
